listening on /dev/input/event3 (type/time/code/value)
/dev/input/event3 2973583.115345 type=3 code=54 value=905
/dev/input/event3 2973583.115345 type=0 code=0 value=0
/dev/input/event3 2973583.120567 type=3 code=53 value=137
/dev/input/event3 2973583.120567 type=3 code=54 value=891
/dev/input/event3 2973583.120567 type=0 code=0 value=0
/dev/input/event3 2973583.126042 type=3 code=53 value=134
/dev/input/event3 2973583.126042 type=3 code=54 value=879
/dev/input/event3 2973583.126042 type=0 code=0 value=0
/dev/input/event3 2973583.131008 type=3 code=53 value=132
/dev/input/event3 2973583.131008 type=3 code=54 value=870
/dev/input/event3 2973583.131008 type=0 code=0 value=0
/dev/input/event3 2973583.136774 type=3 code=54 value=863
/dev/input/event3 2973583.136774 type=0 code=0 value=0
/dev/input/event3 2973583.142171 type=3 code=54 value=858
/dev/input/event3 2973583.142171 type=0 code=0 value=0
/dev/input/event3 2973583.147285 type=3 code=54 value=854
/dev/input/event3 2973583.147285 type=0 code=0 value=0
/dev/input/event3 2973583.152672 type=3 code=53 value=133
/dev/input/event3 2973583.152672 type=3 code=54 value=853
/dev/input/event3 2973583.152672 type=0 code=0 value=0
/dev/input/event3 2973583.157856 type=3 code=53 value=134
/dev/input/event3 2973583.157856 type=3 code=54 value=852
/dev/input/event3 2973583.157856 type=0 code=0 value=0
/dev/input/event3 2973583.174205 type=3 code=53 value=135
/dev/input/event3 2973583.174205 type=3 code=54 value=853
/dev/input/event3 2973583.174205 type=0 code=0 value=0
/dev/input/event3 2973583.179526 type=3 code=53 value=138
/dev/input/event3 2973583.179526 type=3 code=54 value=858
/dev/input/event3 2973583.179526 type=0 code=0 value=0
/dev/input/event3 2973583.185281 type=3 code=53 value=141
/dev/input/event3 2973583.185281 type=3 code=54 value=864
/dev/input/event3 2973583.185281 type=0 code=0 value=0
/dev/input/event3 2973583.190795 type=3 code=53 value=146
/dev/input/event3 2973583.190795 type=3 code=54 value=870
/dev/input/event3 2973583.190795 type=0 code=0 value=0
/dev/input/event3 2973583.196182 type=3 code=53 value=150
/dev/input/event3 2973583.196182 type=3 code=54 value=877
/dev/input/event3 2973583.196182 type=0 code=0 value=0
/dev/input/event3 2973583.201553 type=3 code=53 value=155
/dev/input/event3 2973583.201553 type=3 code=54 value=884
/dev/input/event3 2973583.201553 type=0 code=0 value=0
/dev/input/event3 2973583.206922 type=3 code=53 value=158
/dev/input/event3 2973583.206922 type=3 code=54 value=891
/dev/input/event3 2973583.206922 type=0 code=0 value=0
/dev/input/event3 2973583.211981 type=3 code=53 value=161
/dev/input/event3 2973583.211981 type=3 code=54 value=898
/dev/input/event3 2973583.211981 type=0 code=0 value=0
/dev/input/event3 2973583.217284 type=3 code=53 value=164
/dev/input/event3 2973583.217284 type=3 code=54 value=905
/dev/input/event3 2973583.217284 type=0 code=0 value=0
/dev/input/event3 2973583.223059 type=3 code=53 value=167
/dev/input/event3 2973583.223059 type=3 code=54 value=913
/dev/input/event3 2973583.223059 type=0 code=0 value=0
/dev/input/event3 2973583.228496 type=3 code=53 value=169
/dev/input/event3 2973583.228496 type=3 code=54 value=920
/dev/input/event3 2973583.228496 type=0 code=0 value=0
/dev/input/event3 2973583.233674 type=3 code=53 value=170
/dev/input/event3 2973583.233674 type=3 code=54 value=928
/dev/input/event3 2973583.233674 type=0 code=0 value=0
/dev/input/event3 2973583.239256 type=3 code=53 value=171
