listening on /dev/input/event3 (type/time/code/value)
/dev/input/event3 2972874.007989 type=3 code=53 value=339
/dev/input/event3 2972874.007989 type=0 code=0 value=0
/dev/input/event3 2972874.105101 type=3 code=53 value=340
/dev/input/event3 2972874.105101 type=3 code=54 value=1101
/dev/input/event3 2972874.105101 type=0 code=0 value=0
/dev/input/event3 2972874.121499 type=3 code=53 value=341
/dev/input/event3 2972874.121499 type=3 code=54 value=1102
/dev/input/event3 2972874.121499 type=0 code=0 value=0
/dev/input/event3 2972874.126889 type=3 code=54 value=1103
/dev/input/event3 2972874.126889 type=0 code=0 value=0
/dev/input/event3 2972874.137428 type=3 code=54 value=1104
/dev/input/event3 2972874.137428 type=0 code=0 value=0
/dev/input/event3 2972874.143065 type=3 code=53 value=342
/dev/input/event3 2972874.143065 type=3 code=54 value=1105
/dev/input/event3 2972874.143065 type=0 code=0 value=0
/dev/input/event3 2972874.148495 type=3 code=54 value=1106
/dev/input/event3 2972874.148495 type=0 code=0 value=0
/dev/input/event3 2972874.153926 type=3 code=54 value=1108
/dev/input/event3 2972874.153926 type=0 code=0 value=0
/dev/input/event3 2972874.159056 type=3 code=54 value=1109
/dev/input/event3 2972874.159056 type=0 code=0 value=0
/dev/input/event3 2972874.164554 type=3 code=53 value=343
/dev/input/event3 2972874.164554 type=3 code=54 value=1111
/dev/input/event3 2972874.164554 type=0 code=0 value=0
/dev/input/event3 2972874.169870 type=3 code=54 value=1113
/dev/input/event3 2972874.169870 type=0 code=0 value=0
/dev/input/event3 2972874.175246 type=3 code=53 value=344
/dev/input/event3 2972874.175246 type=3 code=54 value=1116
/dev/input/event3 2972874.175246 type=0 code=0 value=0
/dev/input/event3 2972874.180661 type=3 code=54 value=1118
/dev/input/event3 2972874.180661 type=0 code=0 value=0
/dev/input/event3 2972874.186149 type=3 code=53 value=345
/dev/input/event3 2972874.186149 type=3 code=54 value=1122
/dev/input/event3 2972874.186149 type=0 code=0 value=0
/dev/input/event3 2972874.191441 type=3 code=53 value=346
/dev/input/event3 2972874.191441 type=3 code=54 value=1126
/dev/input/event3 2972874.191441 type=0 code=0 value=0
/dev/input/event3 2972874.197086 type=3 code=53 value=347
/dev/input/event3 2972874.197086 type=3 code=54 value=1131
/dev/input/event3 2972874.197086 type=0 code=0 value=0
/dev/input/event3 2972874.202334 type=3 code=53 value=348
/dev/input/event3 2972874.202334 type=3 code=54 value=1136
/dev/input/event3 2972874.202334 type=0 code=0 value=0
/dev/input/event3 2972874.207628 type=3 code=53 value=350
/dev/input/event3 2972874.207628 type=3 code=54 value=1142
/dev/input/event3 2972874.207628 type=0 code=0 value=0
